3z 150 mg, pó para suspensão oral, 150 mg
3z 200 mg, pó para suspensão oral, 200 mg
3z 250 mg, pó para suspensão oral, 250 mg
3z 500 mg, pó para suspensão oral, 500 mg
AAS 150, 150 mg
Aciclovir Generis 800 mg Comprimidos, 800 mg
Aciclovir Germed, 50 mg/g
Aciclovir Labesfal 200 mg Comprimidos, 200 mg
Aciclovir Labesfal 800 mg Comprimidos, 800 mg
Aciclovir Labesfal, 50 mg/g
Aciclovir ratiopharm, 50 mg/g
Aciclovir Vida, 200 mg
Aciclovir Vida, 800 mg
Ácido Acetilsalicílico Aristo, 100 mg
Ácido Acetilsalicílico Aurovitas, 100 mg
Ácido Acetilsalicílico Aurovitas, 150 mg
Ácido Acetilsalicílico Bluepharma, 100 mg
Ácido acetilsalicílico Farmoz, 100 mg
Ácido Acetilsalicílico Generis, 100 mg
Ácido acetilsalicílico Krka, 100 mg
Ácido Acetilsalicílico Mylan, 100 mg
Ácido acetilsalicílico Pentafarma, 100 mg
Ácido Acetilsalicílico Pharmakern, 100 mg
Ácido Acetilsalicílico Ratiopharm 100 mg Comprimidos, 100 mg
Ácido Acetilsalicílico Ratiopharm, 500 mg
Ácido acetilsalicílico Tolife, 100 mg
Ácido Alendrónico + Colecalciferol Aristo, 70 mg + 2800 U.I.
Ácido Alendrónico + Colecalciferol Aristo, 70 mg + 5600 U.I.
Ácido alendrónico + Colecalciferol Azevedos, 70 mg + 2800 U.I.
Ácido alendrónico + Colecalciferol Azevedos, 70 mg + 5600 U.I.
Ácido alendrónico + Colecalciferol Bluepharma, 70 mg + 2800 U.I.
Ácido alendrónico + Colecalciferol Bluepharma, 70 mg + 5600 U.I.
Ácido alendrónico + Colecalciferol Ciclum, 70 mg + 2800 U.I.
Ácido alendrónico + Colecalciferol Ciclum, 70 mg + 5600 U.I.
Ácido Alendrónico + Colecalciferol Farmoz, 70 mg + 5600 U.I.
Ácido Alendrónico + Colecalciferol Generis, 70 mg + 2800 U.I.
Ácido Alendrónico + Colecalciferol Generis, 70 mg + 5600 U.I.
Ácido alendrónico + Colecalciferol Mylan, 70 mg + 2800 U.I.
Ácido alendrónico + Colecalciferol Mylan, 70 mg + 5600 U.I.
Ácido Alendrónico + Colecalciferol Pentafarma, 70 mg + 5600 U.I.
Ácido alendrónico + Colecalciferol Pharmakern, 70 mg + 2800 U.I.
Ácido alendrónico + Colecalciferol Pharmakern, 70 mg + 5600 U.I.
Ácido alendrónico + Colecalciferol Ratiopharm, 70 mg + 2800 U.I.
Ácido alendrónico + Colecalciferol Ratiopharm, 70 mg + 5600 U.I.
Ácido Alendrónico + Colecalciferol Sandoz, 70 mg + 5600 U.I.
Ácido alendrónico + Colecalciferol Teva, 70 mg + 2800 U.I.
Ácido alendrónico + Colecalciferol Teva, 70 mg + 5600 U.I.
Ácido Alendrónico + Colecalciferol toLife, 70 mg + 5600 U.I.
Ácido Alendrónico + Colecalciferol Zentiva, 70 mg + 2800 U.I.
Ácido Alendrónico + Colecalciferol Zentiva, 70 mg + 5600 U.I.
Ácido Alendrónico Almus, 70 mg
Ácido Alendrónico Alter, 10 mg
Ácido Alendrónico Alter, 70 mg
Ácido Alendrónico Aurobindo, 70 mg
Ácido Alendrónico Azevedos, 70 mg
Ácido Alendrónico Basi, 70 mg
Ácido Alendrónico Bifosal 10 mg Comprimidos, 10 mg
Ácido Alendrónico Bifosal 70 mg Comprimidos, 70 mg
Ácido alendrónico Bluefish, 70 mg
Ácido Alendrónico Bluepharma, 70 mg
Ácido Alendrónico Ciclum, 70 mg
Ácido alendrónico Cinfa, 70 mg
Ácido Alendrónico Daquimed, 70 mg
Ácido Alendrónico Farmoz, 70 mg
Ácido Alendrónico Generis 70 mg Comprimidos, 70 mg
Ácido Alendrónico Germed, 70 mg
Ácido Alendrónico GP, 70 mg
Ácido Alendrónico ITF, 70 mg
Ácido Alendrónico J. Neves 70 mg Comprimidos, 70 mg
Ácido Alendrónico Jaba, 70 mg
Ácido Alendrónico Mepha, 70 mg
Ácido Alendrónico Mylan, 70 mg
Ácido Alendrónico Nozat, 70 mg
Ácido Alendrónico Pentafarma, 70 mg
Ácido Alendrónico Pharmakern, 70 mg
Ácido alendrónico ratiopharm, 70 mg
Ácido Alendrónico Sandoz, 70 mg
Ácido Alendrónico Solufarma, 70 mg
Ácido Alendrónico Tecnimede, 70 mg
Ácido Alendrónico Tetrafarma, 70 mg
Ácido Alendrónico Teva, 70 mg
Ácido Alendrónico ToLife 70 mg Comprimidos, 70 mg
Ácido Fólico Farmoz, 5 mg
Ácido Fólico Generis, 5 mg
Ácido fusídico Farmoz, 20 mg/g
Ácido Ibandrónico Alter, 150 mg
Ácido Ibandrónico Aurobindo, 150 mg
Ácido ibandrónico Aurovitas, 150 mg
Ácido Ibandrónico Bluefish, 150 mg
Ácido Ibandrónico Bluepharma, 150 mg
Ácido Ibandrónico Ciclum, 150 mg
Ácido Ibandrónico Cinfa, 150 mg
Ácido Ibandrónico Farmoz, 150 mg
Ácido Ibandrónico Gedeon Richter, 150 mg
Ácido Ibandrónico Generis Phar, 150 mg
Ácido Ibandrónico Generis, 150 mg
Ácido Ibandrónico GP, 150 mg
Ácido Ibandrónico Mylan, 150 mg
Ácido Ibandrónico Pentafarma, 150 mg
Ácido Ibandrónico Pharmakern, 150 mg
Ácido Ibandrónico Ratiopharm, 150 mg
Ácido Ibandrónico Sandoz, 150 mg
Ácido Ibandrónico Stada, 150 mg
Ácido Ibandrónico Teva, 150 mg
Ácido Ibandrónico toLife, 150 mg
Ácido valpróico Aurovitas, 300 mg
Ácido valpróico Aurovitas, 500 mg
Ácido Valpróico Generis, 300 mg
Ácido Valpróico Generis, 500 mg
Ácido Valpróico Ratiopharm 300 mg Comprimidos de libertação prolongada, 300 mg
Ácido Valpróico Ratiopharm 500 mg Comprimidos de libertação prolongada, 500 mg
Ácido Zoledrónico Aurovitas, 5 mg/100 ml
Ácido Zoledrónico Zentiva, 5 mg/100 ml
Acilib, 20 mg
Aclasta, 5 mg/100 ml
Acnatac, 10 mg/g + 0.25 mg/g
Actelsar HCT, 40 mg + 12.5 mg
Actelsar HCT, 80 mg + 12.5 mg
Actelsar HCT, 80 mg + 25 mg
Actidox 100, 100 mg
Actifed, 6 mg/ml + 0.25 mg/ml
Actifed, 60 mg + 2.5 mg
Actikerall, 100 mg/g + 5 mg/g
Actilam Per-Os, Associação
Actiq, 200 µg
Actiq, 400 µg
Actiq, 600 µg
Actiq, 800 µg
Activelle, 0.5 mg + 0.1 mg
Activelle, 1 mg + 0.5 mg
Actolaxan, Associação
Actonel 35 mg, 35 mg
Actos, 15 mg
Actos, 30 mg
Actos, 45 mg
Actrapid Penfill, 100 U.I./ml
Acular, 5 mg/ml
Acupril, 20 mg
Acupril, 40 mg
Acupril, 5 mg
Acuretic, 20 mg + 12.5 mg
Adalat 10, 10 mg
Adalat 5, 5 mg
Adalat A.P., 20 mg
Adalat CR (IP), 60 mg
Adalat CR, 30 mg
Adalat CR, 60 mg
Adalgur N, 500 mg + 2 mg
Adartrel, 0.25 mg
Adartrel, 0.5 mg
Adartrel, 2 mg
Adenuric, 120 mg
Adenuric, 80 mg
Adivas, 70 mg
Adoport, 0.5 mg
Adoport, 1 mg
Adoport, 5 mg
Adrovance, 70 mg + 2800 U.I.
Adrovance, 70 mg + 5600 U.I.
Adt, 10 mg
Adt, 25 mg
Adt, 75 mg
Advagraf, 0.5 mg
Advagraf, 1 mg
Advagraf, 3 mg
Advagraf, 5 mg
Advantan, 1 mg/g
Advantan, 1 mg/ml
Aerinaze, 2.5 mg + 120 mg
Aerius, 0.5 mg/ml
Aerius, 2.5 mg
Aerius, 5 mg
Aerocol, 66.6 mg/ml
Aeromax Nasal, 100 µg/dose
Aero-Om, 105 mg/ml
Aero-OM, 125 mg
Aero-Om, 42 mg
Afebryl, 300 mg + 200 mg + 300 mg
Aflubin, Associação
Aftach, 0.025 mg
Aggrenox, 25 mg + 200 mg
Agiocur, 22 mg/g + 650 mg/g
Agiofibra, 3500 mg
Agiolax, Associação
Aglidil, 1 mg
Aglidil, 2 mg
Aglidil, 3 mg
Aglidil, 4 mg
Agomelatina Aristo, 25 mg
Agomelatina Ciclum, 25 mg
Agomelatina Generis, 25 mg
Agomelatina Mylan, 25 mg
Agomelatina ratiopharm, 25 mg
Agomelatina TAD, 25 mg
Agomelatina Teva, 25 mg
Agomelatina Zentiva, 25 mg
Ainim, 100 mg
Ainim, 50 mg
Airalam, 20 mg + 120 mg
Airflusal Forspiro, 250 µg/dose + 50 µg/dose
Airflusal Forspiro, 500 µg/dose + 50 µg/dose
Airtal Difucreme, 15 mg/g
Airtal, 100 mg
Akineton Retard, 4 mg
Akineton, 2 mg
Akineton, 5 mg/1 ml
Akne-Mycin, 20 mg/g
Alacare, 8 mg
Albosan, 10 mg
Albosan, 20 mg
Albosan, 40 mg
Alcachofra Arkocápsulas, 200 mg
Aldactazine, 15 mg + 25 mg
Aldactone, 100 mg
Aldactone, 25 mg
Aldara, 12.5 mg/250 mg
Aldomet Forte, 500 mg
Aldomet, 250 mg
Alergiftalmina, 5 mg/ml + 0.5 mg/ml
Alerjon, 0.25 mg/ml
Alexin, 60 mg
Alfuzosina Aurobindo, 10 mg
Alfuzosina Aurovitas, 10 mg
Alfuzosina Ciclum 10 mg Comprimidos, 10 mg
Alfuzosina Generis, 10 mg
Alfuzosina Labesfal, 10 mg
Alfuzosina Mepha 10 mg Comprimidos de libertação prolongada, 10 mg
Alfuzosina Mepha 5 mg Comprimidos de libertação prolongada, 5 mg
Alfuzosina Mylan, 10 mg
Alfuzosina Mylan, 5 mg
Alfuzosina Ratiopharm 10 mg Comprimidos de libertação prolongada, 10 mg
Alfuzosina Sandoz 10 mg Comprimidos de libertação prolongada, 10 mg
Alfuzosina Teva, 10 mg
Alfuzosina Zentiva, 10 mg
Algesal, 100 mg/g + 10 mg/g
Algimate, 100 mg/2 ml
Algimate, 125 mg
Algina, 100 mg/g + 40 mg/g + 10 mg/g
Alipur, 5 mg + 5 mg
Alipza, 1 mg
Alipza, 2 mg
Alipza, 4 mg
Alka-Seltzer, 2081.8 mg
Alkeran, 2 mg
Alkimus, 10 mg
Alkimus, 5 mg
Allergodil, 0.5 mg/ml
Allergodil, 1 mg/ml
Alli, 27 mg
Alli, 60 mg
Almigástrico, 500 mg
Almigripe, 500 mg + 20 mg
Almogran, 12.5 mg
Alopurinol Ciclum 300 mg Comprimidos, 300 mg
Alopurinol Generis, 100 mg
Alopurinol Generis, 300 mg
Alopurinol Labesfal, 100 mg
Alopurinol Labesfal, 300 mg
Alopurinol Mylan, 100 mg
Alopurinol Mylan, 300 mg
Alopurinol Ratiopharm 300 mg Comprimidos, 300 mg
Alopurinol Sidefarma, 300 mg
Alorexyl, 50 mg/ml
Alospray, 10 mg/ml
Aloxi, 0.25 mg/5 ml
Aloxi, 500 µg
Alphagan, 2 mg/ml
Alprazolam Basi, 0.25 mg
Alprazolam Basi, 0.5 mg
Alprazolam Basi, 1 mg
Alprazolam Bluepharma 0,25 mg Comprimidos, 0.25 mg
Alprazolam Bluepharma 0,5 mg Comprimidos de libertação modificada, 0.5 mg
Alprazolam Bluepharma 0,5 mg Comprimidos, 0.5 mg
Alprazolam Bluepharma 1 mg Comprimidos de libertação modificada, 1 mg
Alprazolam Bluepharma 1 mg Comprimidos, 1 mg
Alprazolam Bluepharma 2 mg Comprimidos de libertação modificada, 2 mg
Alprazolam cinfa 0,5 mg Comprimidos, 0.5 mg
Alprazolam cinfa 1 mg Comprimidos, 1 mg
Alprazolam Farmoz, 0.5 mg
Alprazolam Farmoz, 1 mg
Alprazolam Farmoz, 2 mg
Alprazolam Generis 0,25 mg Comprimidos, 0.25 mg
Alprazolam Generis 0,5 mg Comprimidos de libertação modificada, 0.5 mg
Alprazolam Generis 0,5 mg Comprimidos, 0.5 mg
Alprazolam Generis 1 mg Comprimidos de libertação modificada, 1 mg
Alprazolam Generis 1 mg Comprimidos, 1 mg
Alprazolam Generis 2 mg Comprimidos de libertação modificada, 2 mg
Alprazolam GP 0,25 mg Comprimidos, 0.25 mg
Alprazolam GP 0,5 mg Comprimidos de libertação modificada, 0.5 mg
Alprazolam GP 0,5 mg Comprimidos, 0.5 mg
Alprazolam GP 1 mg Comprimidos de libertação modificada, 1 mg
Alprazolam GP 1 mg Comprimidos, 1 mg
Alprazolam GP 2 mg Comprimidos de libertação modificada, 2 mg
Alprazolam Jaba 0,5 mg Comprimidos de libertação modificada, 0.5 mg
Alprazolam Jaba 1 mg Comprimidos de libertação modificada, 1 mg
Alprazolam Jaba 2 mg Comprimidos de libertação modificada, 2 mg
Alprazolam Labesfal 0,5 mg Comprimidos de libertação modificada, 0.5 mg
Alprazolam Labesfal 1 mg Comprimidos de libertação modificada, 1 mg
Alprazolam Labesfal 2 mg Comprimidos de libertação modificada, 2 mg
Alprazolam Labesfal, 0.25 mg
Alprazolam Labesfal, 0.5 mg
Alprazolam Labesfal, 1 mg
Alprazolam Mylan, 0.25 mg
Alprazolam Mylan, 0.5 mg
Alprazolam Mylan, 1 mg
Alprazolam Mylan, 2 mg
Alprazolam Pazolam 0,25 mg Comprimidos, 0.25 mg
Alprazolam Pazolam 0,5 mg Comprimidos de libertação modificada, 0.5 mg
Alprazolam Pazolam 0,5 mg Comprimidos, 0.5 mg
Alprazolam Pazolam 1 mg Comprimidos de libertação modificada, 1 mg
Alprazolam Pazolam 1 mg Comprimidos, 1 mg
Alprazolam Pazolam 2 mg Comprimidos de libertação modificada, 2 mg
Alprazolam Prazam, 0.25 mg
Alprazolam Prazam, 0.5 mg
Alprazolam Prazam, 1 mg
Alprazolam ratiopharm 0,25 mg Comprimidos, 0.25 mg
Alprazolam Ratiopharm 0,5 mg Comprimidos de libertação modificada, 0.5 mg
Alprazolam ratiopharm 0,5 mg Comprimidos, 0.5 mg
Alprazolam Ratiopharm 1 mg Comprimidos de libertação modificada, 1 mg
Alprazolam ratiopharm 1 mg Comprimidos, 1 mg
Alprazolam Ratiopharm 2 mg Comprimidos de libertação modificada, 2 mg
Alprazolam Sandoz, 0.25 mg
Alprazolam Sandoz, 0.5 mg
Alprazolam Sandoz, 1 mg
Alprazolam TAD, 0.25 mg
Alprazolam TAD, 0.5 mg
Alprazolam TAD, 1 mg
Altensil, 10 mg + 16 mg
Altensil, 10 mg + 8 mg
Altensil, 5 mg + 16 mg
Altensil, 5 mg + 8 mg
Alzen SR, 150 mg
Alzen SR, 200 mg
Alzen SR, 300 mg
Alzen SR, 400 mg
Alzen SR, 50 mg
Ambroxol Azevedos, 6 mg/ml
Ambroxol Cinfa 3 mg/ml Xarope, 3 mg/ml
Ambroxol Farmoz 15mg/5ml Xarope, 3 mg/ml
Ambroxol Farmoz 30 mg Comprimidos, 30 mg
Ambroxol Farmoz 30mg/5ml  Xarope, 6 mg/ml
Ambroxol Fludoran, 6 mg/ml
Ambroxol Fluidox 30 mg Comprimidos, 30 mg
Ambroxol Fluidox 6 mg/ml Xarope, 6 mg/ml
Ambroxol Generis, 3 mg/ml
Ambroxol Nocegap, 6 mg/ml
Ambroxol Tussilene, 6 mg/ml
Amelye, 2 mg + 0.03 mg
Amicacina Hikma, 100 mg/2 ml
Amicacina Hikma, 500 mg/2 ml
Amiloride + Hidroclorotiazida Ratiopharm 5 mg e 50 mg Comprimidos, 50 mg + 5 mg
Amiodarona Alter, 200 mg
Amiodarona Aurovitas, 200 mg
Amiodarona Bluepharma, 200 mg
Amiodarona Fresenius Kabi 200 mg Comprimidos, 200 mg
Amiodarona Generis 200 mg Comprimidos, 200 mg
Amiodarona GP 200 mg Comprimidos, 200 mg
Amiodarona Labesfal, 200 mg
Amiodarona Limeg, 200 mg
Amiodarona Mylan, 200 mg
Amissulprida Atirdrane, 200 mg
Amissulprida Atirdrane, 400 mg
Amissulprida Atirdrane, 50 mg
Amissulprida Aurovitas, 200 mg
Amissulprida Aurovitas, 50 mg
Amissulprida Generis, 200 mg
Amissulprida Generis, 50 mg
Amissulprida Labesfal, 200 mg
Amissulprida Labesfal, 50 mg
Amissulprida Mylan, 200 mg
Amissulprida Mylan, 50 mg
Amizal, 45 mg
Amlodipina + Atorvastatina Krka, 10 mg + 10 mg
Amlodipina + Atorvastatina Krka, 5 mg + 10 mg
Amlodipina + Candesartan Krka, 5 mg + 8 mg
Amlodipina + Olmesartan medoxomilo Alter, 10 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Alter, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo Alter, 5 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Bluepharma, 10 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Bluepharma, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo Bluepharma, 5 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Ciclum, 10 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Ciclum, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo Ciclum, 5 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Cinfa, 10 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Cinfa, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo Cinfa, 5 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Krka, 10 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Krka, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo Krka, 5 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Mylan, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo ratiopharm, 10 mg + 40 mg
Amlodipina + Olmesartan medoxomilo ratiopharm, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo ratiopharm, 5 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Sandoz, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo Teva, 10 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Teva, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo Teva, 5 mg + 40 mg
Amlodipina + Olmesartan medoxomilo toLife, 10 mg + 40 mg
Amlodipina + Olmesartan medoxomilo toLife, 5 mg + 20 mg
Amlodipina + Olmesartan medoxomilo toLife, 5 mg + 40 mg
Amlodipina + Olmesartan medoxomilo Zentiva, 5 mg + 20 mg
Amlodipina + Telmisartan Krka, 10 mg + 40 mg
Amlodipina + Telmisartan Krka, 5 mg + 40 mg
Amlodipina + Telmisartan Krka, 5 mg + 80 mg
Amlodipina + Valsartan Aurovitas, 5 mg + 160 mg
Amlodipina + Valsartan Aurovitas, 5 mg + 80 mg
Amlodipina + Valsartan Ciclum, 5 mg + 160 mg
Amlodipina + Valsartan Ciclum, 5 mg + 80 mg
Amlodipina + Valsartan Mylan, 5 mg + 160 mg
Amlodipina + Valsartan Mylan, 5 mg + 80 mg
Amlodipina + Valsartan Pensa, 5 mg + 160 mg
Amlodipina + Valsartan Pensa, 5 mg + 80 mg
Amlodipina + Valsartan ratiopharm, 5 mg + 160 mg
Amlodipina + Valsartan ratiopharm, 5 mg + 80 mg
Amlodipina + Valsartan Refta, 5 mg + 160 mg
Amlodipina + Valsartan Refta, 5 mg + 80 mg
Amlodipina + Valsartan Sandoz, 5 mg + 160 mg
Amlodipina + Valsartan Sandoz, 5 mg + 80 mg
Amlodipina + Valsartan TAD, 5 mg + 160 mg
Amlodipina + Valsartan TAD, 5 mg + 80 mg
Amlodipina + Valsartan Teva, 5 mg + 160 mg
Amlodipina + Valsartan Teva, 5 mg + 80 mg
Amlodipina + Valsartan Zentiva, 5 mg + 160 mg
Amlodipina + Valsartan Zentiva, 5 mg + 80 mg
Amlodipina Accord, 10 mg
Amlodipina Accord, 5 mg
Amlodipina Alter 10 mg comprimidos, 10 mg
Amlodipina Alter 5 mg comprimidos, 5 mg
Amlodipina Amlocor 10 mg Comprimidos, 10 mg
Amlodipina Amlocor 5 mg Comprimidos, 5 mg
Amlodipina Aristo 10 mg Comprimidos, 10 mg
Amlodipina Aristo 5 mg Comprimidos, 5 mg
Amlodipina Atral, 10 mg
Amlodipina Atral, 5 mg
Amlodipina Aurovitas, 10 mg
Amlodipina Aurovitas, 5 mg
Amlodipina Azevedos, 10 mg
Amlodipina Azevedos, 5 mg
Amlodipina Basi, 10 mg
Amlodipina Basi, 5 mg
Amlodipina Bluepharma, 10 mg
Amlodipina Bluepharma, 5 mg
Amlodipina Cardionox 10 mg Comprimidos, 10 mg
Amlodipina Cardionox 5 mg Comprimidos, 5 mg
Amlodipina Ciclum, 10 mg
Amlodipina Ciclum, 5 mg
Amlodipina Cinfa, 10 mg
Amlodipina Cinfa, 5 mg
Amlodipina Drime, 10 mg
Amlodipina Drime, 5 mg
Amlodipina Fair-Med, 10 mg
Amlodipina Fair-Med, 5 mg
Amlodipina Farmoz 10 mg Comprimidos, 10 mg
Amlodipina Farmoz 5 mg Comprimidos, 5 mg
Amlodipina Fresenius Kabi 10 mg Comprimidos, 10 mg
Amlodipina Fresenius Kabi 5 mg Comprimidos, 5 mg
Amlodipina Generis 10 mg Comprimidos, 10 mg
Amlodipina Generis 5 mg Comprimidos, 5 mg
Amlodipina GP 10 mg Comprimidos, 10 mg
Amlodipina GP 5 mg Comprimidos, 5 mg
Amlodipina Green Avet, 10 mg
Amlodipina Green Avet, 5 mg
Amlodipina Jaba 10 mg comprimidos, 10 mg
Amlodipina Jaba 5 mg comprimidos, 5 mg
Amlodipina Krka, 10 mg
Amlodipina Krka, 5 mg
Amlodipina Labesfal, 10 mg
Amlodipina Labesfal, 5 mg
Amlodipina Limeg, 10 mg
Amlodipina Limeg, 5 mg
Amlodipina Mepha 10 mg Comprimidos, 10 mg
Amlodipina Mepha 5 mg Comprimidos, 5 mg
Amlodipina Mibral, 10 mg
Amlodipina Mibral, 5 mg
Amlodipina Mylan, 10 mg
Amlodipina Mylan, 5 mg
Amlodipina Orexene, 10 mg
Amlodipina Orexene, 5 mg
Amlodipina Parke-Davis, 10 mg
Amlodipina Parke-Davis, 5 mg
Amlodipina Pharmakern, 10 mg
Amlodipina Pharmakern, 5 mg
Amlodipina Ratiopharm, 10 mg
Amlodipina Ratiopharm, 5 mg
Amlodipina Sandoz, 10 mg
Amlodipina Sandoz, 5 mg
Amlodipina Stada, 10 mg
Amlodipina Stada, 5 mg
Amlodipina Tecnimede 10 mg Comprimidos, 10 mg
Amlodipina Tecnimede 5 mg Comprimidos, 5 mg
Amlodipina Teva, 10 mg
Amlodipina Teva, 5 mg
Amlodipina toLife 10 mg Comprimidos, 10 mg
Amlodipina toLife 5 mg Comprimidos, 5 mg
Amlodipina Vir, 10 mg
Amlodipina Vir, 5 mg
Amlodipina Wynn, 10 mg
Amlodipina Wynn, 5 mg
Amlodipina Zentiva, 10 mg
Amlodipina Zentiva, 5 mg
Amoclavam Forte, 250 mg/5 ml + 62.5 mg/5 ml
Amoclavam, 125 mg/5 ml + 31.25 mg/5 ml
Amoclavam, 500 mg + 125 mg
Amorolfina Bluefish, 50 mg/ml
Amorolfina Bluepharma, 50 mg/ml
Amorolfina Ciclum, 50 mg/ml
Amorolfina Mylan, 50 mg/ml
Amorolfina ratiopharm, 50 mg/ml
Amorolfina Schollmed, 50 mg/ml
Amorolfina Zentiva, 50 mg/ml
Amoxicilina + Ácido Clavulânico Alter, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Aristo 875 mg + 125 mg comprimidos revestidos, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Aurobindo, 400 mg/5 ml + 57 mg/5 ml
Amoxicilina + Ácido clavulânico Aurobindo, 500 mg + 125 mg
Amoxicilina + Ácido clavulânico Aurobindo, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Aurovitas, 500 mg + 125 mg
Amoxicilina + Ácido Clavulânico Aurovitas, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Basi, 250 mg/5 ml + 62.5 mg/5 ml
Amoxicilina + Ácido Clavulânico Basi, 400 mg/5 ml + 57 mg/5 ml
Amoxicilina + Ácido Clavulânico Basi, 500 mg + 125 mg
Amoxicilina + Ácido Clavulânico Basi, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Biochemie 125 e 31,25 mg, 125 mg/5 ml + 31.25 mg/5 ml
Amoxicilina + Ácido Clavulânico Biochemie 250 e 62,5 mg, 250 mg/5 ml + 62.5 mg/5 ml
Amoxicilina + Ácido Clavulânico Bluepharma, 500 mg + 125 mg
Amoxicilina + Ácido Clavulânico Bluepharma, 875 mg + 125 mg
Amoxicilina + Ácido clavulânico Ciclum, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Cinfa 875 mg + 125 mg Comprimidos, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Clavepen DT 875 mg+125 mg Comprimidos Revestidos, 875 mg + 125 mg
